"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.953915561E2,5.322935886E1,1.039924847E1,3.517902025E1,9.876582108E-1,3.027761449E2,4.945505999E0,4.945505999E0
1.963915291E2,5.322936903E1,1.039922286E1,3.559796759E1,1.292212502E0,3.011957875E2,4.946555611E0,4.946555611E0
1.973915019E2,5.322938109E1,1.039919887E1,3.512084495E1,1.514811640E0,3.054968061E2,4.948409634E0,4.948409634E0
1.983914746E2,5.322938856E1,1.039918543E1,3.555626941E1,1.330272208E0,3.064892331E2,4.947838577E0,4.947838577E0
1.993914467E2,5.322939554E1,1.039916905E1,3.623748747E1,1.196887332E0,3.037330720E2,4.955414928E0,4.955414928E0
2.003914195E2,5.322939068E1,1.039914678E1,3.693511243E1,9.687700361E-1,2.795596400E2,4.953446226E0,4.953446226E0
2.013913921E2,5.322939080E1,1.039912759E1,3.598401466E1,9.160495711E-1,2.745036320E2,4.965553492E0,4.965553492E0
2.023913645E2,5.322938927E1,1.039910510E1,3.463406497E1,8.836049935E-1,2.682551677E2,4.982070240E0,4.982070240E0
2.033913373E2,5.322939250E1,1.039908850E1,3.511848054E1,8.350788130E-1,2.754540674E2,4.992187512E0,4.992187512E0
2.043913095E2,5.322939326E1,1.039907989E1,3.566580339E1,6.767783362E-1,2.805637671E2,4.994746713E0,4.994746713E0
2.053912822E2,5.322939630E1,1.039907907E1,3.608330130E1,3.958062571E-1,2.920030815E2,5.010464166E0,5.010464166E0
2.063912547E2,5.322939153E1,1.039907503E1,3.592473052E1,0.000000000E0,2.773072909E2,5.028523539E0,5.028523539E0
2.073912276E2,5.322938338E1,1.039907186E1,3.570453306E1,0.000000000E0,2.773072910E2,5.021472153E0,5.021472153E0
2.083912005E2,5.322937624E1,1.039906955E1,3.577351782E1,0.000000000E0,2.773072915E2,5.060851574E0,5.060851574E0
